INLIQVE202L0009999L0001234                                                 FANDE
Isinli.exe@zonalibros.com                          ejemploejemplo@example.org                        LIQVE202        
CEXEMPLE LLIBRERIA                       EDITORIAL I DISTRIBUIDORA EXEMPLE EX    202404302024043020240430          E
DV978-84-126833-1-89788412683318     11400000011    TENER                                              0000040000001538000000160000500000400
DV978-84-126833-1-89788412683318     11400000011    TENER                                              0000010000001538000000160000550000400
DV978-84-126833-2-59788412683325     11400000012    ESPIRITU DEL SUELO, EL                             0000100000001635000000170000500000400
DV978-84-126833-2-59788412683325     11400000012    ESPIRITU DEL SUELO, EL                             0000020000001635000000170000550000400
DV978-84-126833-3-29788412683332     11400000013    ESBOZO DE UNA CRITICA A LA TEORIA Y PRACTICAS LENI 0000020000001683000000175000500000400
DV978-84-613-9491-39788461394913     AUC00000001    El asalto al Hades                                 0000010000001442000000150000500000400
DV978-84-949223-6-79788494922367     EPK00000001    UTOPIA NO ES UNA ISLA                              0000080000000769000000080000500000400
DV978-84-949223-6-79788494922367     EPK00000001    UTOPIA NO ES UNA ISLA                              0000020000000769000000080000550000400
DV978-84-949223-6-79788494922367     EPK00000001    UTOPIA NO ES UNA ISLA                              0000010000001154000000120000550000400
DV978-84-949223-4-39788494922343     EPK00000002    EN LA COSTA DESAPARECIDA,2                         0000040000001721000000179000500000400
DV978-84-949223-0-59788494922305     442000002      ESTÍO                                              0000010000001433000000149000500000400
DA978-84-949223-2-99788494922329     442000005      VIDA EN MARTES,2                                  -0000010000000577000000060000500000400
DV978-84-949223-5-09788494922350     EPK00000008    MARX JUEGA,5                                       0000020000000962000000100000550000400
DV978-84-949223-5-09788494922350     EPK00000008    MARX JUEGA,5                                       0000010000001154000000120000550000400
DV978-84-949223-8-19788494922381     EPK00000009    ARTE DE LA FUGA, EL                                0000010000000962000000100000500000400
DV978-84-124490-0-69788412449006     FRC00000001    FRICCIÓN,1                                         0000020000002404000000250000550000400
DV978-84-124490-1-39788412449013     FRC00000002    BRUJERÍA CAPITALISTA,2                             0000010000001827000000190000500000400
DA978-84-92559-30-59788492559305     VIR00000008    MIGRACIONES AMBIENTALES                           -0000010000000769000000080000500000400
DV978-84-604-1861-09788460418610     VIR60418610    Sabaté                                             0000010000001442000000150000550000400
DV978-84-96044-77-79788496044777     VIR96044777    El MIL i Puig Antich                               0000010000001154000000120000550000400
